x,y,g1,g2,P
0.0,0.0,3.158192909689767,1.0,40.5
0.01,0.05787249896489538,3.086738401664491,1.0001150066127535,42.56282843466662
0.02,0.10816736642220566,3.017594527717114,1.0004601058162246,44.524342466082466
0.03,0.1522738426751194,2.950678075380329,1.0010355357973342,46.389604336258785
0.04,0.1912617667648314,2.8859092068532535,1.0018416938387285,48.16342724472535
0.05,0.22596841474800217,2.823211311515284,1.0028791367759604,49.85038792040106
0.06,0.2570584691776891,2.762510865365173,1.0041485816385745,51.45483852634897
0.07,0.28506634332334857,2.703737297041416,1.005650906476129,52.98091793369675
0.08,0.31042663424564304,2.6468228600980344,1.0073871513704873,54.43256239893021
0.09,0.33349641587553275,2.5917025112268295,1.0093585196360113,55.81351567681629
0.1,0.3545718140177083,2.5383137941333023,1.0115663792095986,57.127338599373616
0.11,0.3739005042905293,2.486596728788593,1.0140122642328095,58.37741814957789
0.12,0.39169125698800733,2.4364937057942107,1.0166978768286457,59.56697605685829
0.13,0.40812131213862046,2.387949385609912,1.0196250890758638,60.69907693990528
0.14,0.42334213927204073,2.3409106024079516,1.0227959451840274,61.77663602086131
0.15,0.43748398015843454,2.2953262723291075,1.0262126638728375,62.80242643360185
0.16,0.4506594643829867,2.2511473059273914,1.0298776409596173,63.77908614752712
0.17,0.4629665113180078,2.2083265246012735,1.0337934521591772,64.70912452707162
0.18,0.474490677630179,2.1668185808195455,1.037962856100639,65.59492854599418
0.19,0.4853070701576979,2.1265798819597315,1.0423887975661688,66.43876867443161
0.2,0.4954819152826267,2.0875685175861967,1.0470744109569372,67.24280445568047
0.21,0.5050738547273893,2.0497441900038504,1.0520230239920219,68.00908978870926
0.22,0.5141350218982736,2.013068147931653,1.0572381616463595,68.7395779314966
0.23,0.5227119410017749,1.977503123147965,1.06272355033427,69.43612623943196
0.24,0.5308462821262447,1.9430132699672404,1.068483122345504,70.1005006522072
0.25,0.5385754985656743,1.9095641074145941,1.0745210205412008,70.73437994186013
0.26,0.5459333673269309,1.877122463971472,1.080841603317608,71.33935973390882
0.27,0.5529504496152081,1.8456564247719658,1.0874494498458818,71.91695631283028
0.28,0.5596544848475813,1.8151352811353256,1.094349365596781,72.46861022248986
0.29,0.5660707291886946,1.785529482325905,1.1015463881595822,72.99568967151487
0.3,0.5722222475769715,1.7568105894371695,1.109045793365068,73.49949375302552
0.31,0.5781301665948843,1.7289512313015107,1.1168531017229988,73.98125548758597
0.32,0.5838138942422749,1.701925062332458,1.124974085185052,74.44214469771796
0.33,0.5892913116284364,1.6757067222104791,1.1334147742448097,74.88327072182368
0.34,0.5945789407536459,1.6502717973279306,1.1421814653870033,75.30568497489601
0.35000000000000003,0.5996920918631246,1.625596783912848,1.1512807288988764,75.71038336294876
0.36,0.6046449932941557,1.6016590527552066,1.1607194170572046,76.0983085576743
0.37,0.6094509062754296,1.578436815463003,1.170504672705223,76.47035213743439
0.38,0.6141222267570575,1.555909092179058,1.1806439382344536,76.82735660030488
0.39,0.618670576034644,1.5340556806927874,1.191144964987201,77.17011725452974
0.4,0.6231068816690831,1.5128571268843944,1.2020158230963014,77.49938399138999
0.41000000000000003,0.627441449985547,1.492294696441952,1.2132649117795444,77.81586294515999
0.42,0.6316840312526509,1.4723503477947375,1.2249009701070945,78.12021804450407
0.43,0.6358438784896776,1.4530067062089,1.2369330882611544,78.41307245936095
0.44,0.6399298007209612,1.4342470389941562,1.2493707193080943,78.69500994707039
0.45,0.6439502113879075,1.4160552317726596,1.26222369150429,78.96657610121426
0.46,0.6479131725373267,1.3984157657635552,1.2755022211579796,79.2282795063736
0.47000000000000003,0.6518264353270076,1.3813136960389467,1.2892169260705806,79.48059280174175
0.48,0.6556974773235443,1.3647346307091308,1.3033788395820685,79.72395365628091
0.49,0.6595335370114754,1.3486647109969716,1.3179994252462695,79.95876565786529
0.5,0.6633416458852868,1.3330905921632026,1.3330905921632026,80.18539911861663
